name,breed,mixed,sex,neut,age,SRA,how_long,how_often,where_num,other pet,o_age,origin_num,kept_num,how_long_r,how_often_r,relationship,feelings_home,feelings_known,feelings_strange,deal_home,deal_known,deal_strange,safe_strange,safe_known,safe_home,greet_short,greet_long,whine,bark,howl,drool,pee,poo,destruct,tremble,aroused,owner_feeling,home_behav,elimin_greet,Clusters
Pepe,German Shepherd Dog (Alsatian),0,1,1,51,0,1,4,2,0,38,4,3,1,4,7,1,1,1,2,2,3,2,1,2,2,2,0,0,0,0,0,0,0,0,3,-1.438393672,-0.694530617,1.410802833,2
Borisz,Borzoi,0,1,0,38,1,3,4,2,1,22,2,1,3,4,6,2,2,4,3,4,5,0,1,3,3,4,2,0,0,0,0,0,0,0,0,0.597397682,-0.750828575,0.07839882,1
Nádi-Kajtató Bejgli,"Dachshund, Wire-haired",0,2,0,37,1,2,4,3,2,46,5,2,2,4,7,2,3,5,2,2,4,1,3,3,4,5,1,0,0,0,0,0,0,1,1,-0.231602119,-0.452386024,-0.27361469,1
Agima,Belgian Shepherd Dog - Groenendael,0,2,1,76,1,2,4,2,1,23,2,1,2,4,6,2,3,4,1,3,4,2,1,1,3,3,0,0,1,0,0,0,0,0,1,-0.148566192,-0.771246873,0.762591375,2
Lír,Border collie,0,1,1,36,1,3,4,1,0,29,2,3,3,4,6,2,3,4,1,2,4,1,1,3,5,5,1,0,0,0,0,0,0,0,0,0.068908848,-0.835488928,-0.797160393,1
Tappancs,Tibetan Terrier,0,2,0,75,1,2,4,2,2,45,3,1,2,4,6,2,2,5,2,3,5,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0.469950812,-1.055338781,-0.441216971,1
Mogyoró,"Dachshund, Short-haired",0,2,0,96,1,1,1,3,1,47,5,3,1,1,7,1,3,5,1,3,5,0,1,1,5,5,0,0,0,0,0,0,0,0,2,1.024841567,-0.964996113,-0.268880862,1
Viki,Mixed,1,2,1,198,1,1,3,3,1,47,5,3,1,3,6,1,3,5,1,3,5,0,1,1,5,3,1,1,1,1,2,2,2,2,2,0.687955851,0.847501969,4.711244748,3
Brigitte,Bouvier des Flandres,0,2,0,97,0,2,3,1,0,37,1,3,2,3,7,1,1,1,2,2,4,0,3,3,1,4,0,0,0,0,0,0,0,0,0,-1.196213323,-1.166095284,0.566160963,2
Karcsi,French Bulldog,0,2,0,5,0,1,3,3,0,33,2,3,1,3,6,2,3,5,2,2,3,1,3,3,3,4,1,1,0,0,0,0,0,0,1,-0.595800346,-0.592515876,0.274542251,2
Ádáz,Mudi,0,1,0,13,1,1,2,1,1,29,2,3,1,2,6,3,3,4,3,4,4,1,1,1,5,5,2,3,3,0,0,0,2,0,2,-0.12080147,2.312905446,-0.899419841,3
Csele,Mudi,0,2,0,34,0,1,2,3,1,29,2,2,1,2,5,1,2,2,2,2,3,1,1,2,4,5,1,0,0,0,0,0,0,0,2,-0.611399599,-0.293545662,-0.493507179,4
Borisz,Borzoi,0,1,0,38,1,3,4,2,1,22,2,1,3,4,6,3,4,5,2,3,5,0,0,1,5,5,3,0,0,0,0,0,0,0,0,1.478604328,-0.343784763,-0.921867768,1
Mása,Mixed,1,2,1,40,0,2,3,2,1,22,2,3,2,3,6,2,2,2,2,2,3,1,1,2,3,3,0,0,0,0,0,0,0,0,0,-0.648007301,-1.016475561,0.328088298,2
Trisztán,Mixed,1,1,1,28,0,2,3,2,1,22,3,1,2,3,6,2,2,3,2,3,3,2,2,3,4,4,1,0,0,0,0,0,0,0,0,-0.920838613,-0.477854349,-0.358641561,4
Zen,Belgian Shepherd Dog - Malinois,0,1,0,12,1,1,3,3,1,34,2,3,1,3,6,2,2,2,3,3,4,2,2,2,3,3,1,1,1,0,0,0,2,0,0,-1.298593116,0.701363251,0.049044962,4
Sajt,Labrador retriever,0,1,1,16,1,1,3,3,1,34,1,3,1,3,6,1,1,1,2,2,2,2,2,2,3,4,1,1,1,0,0,0,2,0,0,-2.225460224,0.795648343,-0.4867929,4
Oszkár,Mixed,1,1,0,136,0,1,3,3,1,34,5,1,1,3,6,1,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,-2.847144252,-0.639097815,0.181057129,4
Nelson,Belgian Shepherd Dog - Groenendael,0,1,0,131,1,2,4,2,1,23,2,1,2,4,7,2,2,4,1,2,2,1,1,3,4,4,1,2,2,1,0,0,0,0,2,-0.731710598,0.155155769,0.78739994,2
Balambér,Mixed,1,1,1,33,0,1,3,3,1,33,4,3,1,3,4,1,1,3,3,3,4,0,1,3,3,3,2,0,0,0,0,0,0,0,0,-0.241891717,-0.754803987,0.397482266,2
Radar,Mixed,1,2,0,35,1,3,3,1,0,37,5,1,3,3,7,3,3,4,3,3,5,1,1,2,5,5,0,1,1,0,0,0,2,0,0,0.29963206,0.484834915,-1.094750294,1
Mila,Border collie,0,2,0,54,0,2,3,1,0,25,2,3,2,3,7,1,4,5,1,2,3,1,1,3,2,4,1,0,1,0,0,0,0,0,1,-0.054993903,-1.165373209,0.799942595,2
Teodor,Mixed,1,1,0,21,1,3,4,1,0,33,4,3,3,4,5,1,1,2,4,4,5,0,0,0,5,5,3,3,0,0,0,0,3,0,0,-0.036979898,2.022048915,-1.673679599,3
Dominó,Border collie,0,2,1,55,1,1,4,1,1,33,4,2,1,4,6,2,4,5,2,3,5,1,1,3,5,5,3,1,2,0,0,0,1,0,3,0.334418709,0.97241372,-0.335252025,1
Bob,Border collie,0,1,0,116,0,2,1,3,2,45,5,2,2,1,7,2,4,5,3,4,5,1,1,1,1,5,3,3,0,0,0,0,0,0,3,0.695083085,0.521503768,0.562281862,1
Monty,Mixed,1,1,1,73,1,1,1,3,0,57,4,2,1,1,7,5,2,5,4,4,5,1,1,1,5,5,3,2,0,0,0,0,0,0,3,0.828098577,1.288410201,-0.878740887,1
Dijon,"Vizsla, Wire-haired",0,1,0,47,0,3,3,2,1,21,2,1,3,3,7,2,2,5,2,3,5,0,0,1,4,5,2,1,0,0,0,0,1,0,1,0.890463276,0.020351476,-0.581372564,1
Fickó,"Vizsla, Wire-haired",0,1,1,47,0,3,3,2,1,21,3,1,3,3,7,2,3,5,2,4,5,0,0,1,3,5,1,1,0,0,0,0,0,0,0,1.342353301,-0.802934904,-0.234764985,1
Tuti,Mixed,1,2,1,58,0,2,3,3,1,25,4,3,2,3,6,1,2,3,1,1,2,2,3,3,4,4,1,0,0,0,0,0,0,0,1,-1.783538359,-0.496683682,-0.146051056,4
Remi,Mudi,0,2,1,70,1,1,3,3,3,44,4,2,1,3,5,1,2,4,2,3,5,1,1,1,4,5,1,2,0,0,0,0,0,1,2,0.14595818,0.264191112,-0.229847352,1
Csicsi,Mudi,0,2,0,45,1,1,3,3,3,44,1,2,1,3,6,1,2,3,1,2,3,1,1,3,4,5,2,1,1,0,0,0,0,1,2,-0.780308493,0.255568635,-0.235974463,4
Fredó,Yorkshire Terrier,0,1,0,60,0,1,2,3,1,45,3,3,1,2,7,1,1,4,2,2,3,1,1,3,4,5,0,0,0,0,0,0,0,0,1,-0.462011439,-0.828411782,-0.455962177,1
Emma,Great Dane,0,2,1,24,1,2,3,3,1,31,2,3,2,3,6,2,2,5,2,2,4,1,1,3,4,5,2,1,0,0,0,0,1,0,1,-0.14669854,0.053339596,-0.60068999,1
Füli,Mixed,1,1,1,138,1,2,2,3,0,39,4,2,2,2,6,2,2,5,3,2,5,1,1,1,4,4,3,2,2,0,0,0,2,3,.,-0.27461386,2.086724152,-0.066828609,3
Brendon,German Shepherd Dog (Alsatian),0,1,0,5,0,1,3,2,2,18,2,2,1,3,6,2,1,5,1,2,1,2,3,3,5,5,1,2,0,0,0,0,2,0,1,-1.823312156,0.797893147,-1.131728921,4
Pippin,Mixed,1,1,1,51,1,3,3,3,0,35,5,3,3,3,6,3,2,4,3,3,4,0,1,1,5,3,2,2,2,0,1,1,2,0,2,-0.059048122,1.739861169,1.685753266,3
Negro,Mixed,1,1,1,24,1,1,2,3,1,67,5,2,1,2,7,5,1,1,4,1,4,0,0,1,3,3,3,3,0,0,0,0,3,0,3,-0.698909822,2.063802837,-0.166927424,3
Masni,Cavalier King Charles Spaniel,0,2,0,38,1,3,3,1,0,33,2,3,3,3,6,1,1,3,3,3,5,1,1,0,4,5,2,2,0,0,0,0,2,0,0,-0.405843518,1.159097216,-1.138768682,3
Yoda,"Dachshund, Short-haired",0,1,1,101,1,1,2,3,0,31,4,3,1,2,6,5,5,5,5,5,5,0,1,0,3,4,3,2,0,0,0,0,0,0,2,1.815945307,0.686048292,0.029554323,1
Kenzo,Miniature Schnauzer,0,2,1,52,1,2,3,1,0,44,2,3,2,3,6,3,3,5,3,3,5,1,1,1,4,5,0,0,0,0,0,0,2,1,0,0.733964318,0.045693987,-0.763485908,1
Barbazon,Whippet,0,1,1,85,1,2,3,1,3,27,3,3,2,3,6,3,3,3,4,4,5,1,1,1,4,5,2,0,2,0,0,0,2,2,2,0.298075085,1.732503737,-0.542677585,3
Daimón,Mixed,1,1,1,25,1,2,4,3,0,22,4,3,2,4,5,5,4,5,3,5,5,0,1,1,5,5,1,0,0,0,0,0,2,.,2,1.70789652,0.383269178,-0.853588987,1
Kiwi,Vizsla,0,2,1,34,1,3,4,3,1,41,5,2,3,4,7,1,1,4,1,3,5,1,1,3,3,5,2,0,0,0,0,0,0,1,0,-0.141043771,-0.600007926,-0.173578606,1
Szusi,Mixed,1,1,0,12,0,2,3,1,2,36,4,3,2,3,7,3,3,5,2,3,4,1,1,1,3,5,0,0,0,0,0,0,0,0,1,0.695362112,-0.843121914,-0.186132538,1
Prücsök,Staffordshire Bull Terrier,0,2,0,43,1,2,4,3,0,22,3,3,2,4,6,3,3,5,2,3,4,1,1,1,5,5,3,1,3,0,0,0,1,3,1,0.110202515,1.918273155,-0.591024019,3
Raiki,German Shepherd Dog (Alsatian),0,1,0,47,1,2,2,3,1,36,2,2,2,2,6,1,2,3,2,3,5,1,1,3,1,3,1,1,0,0,0,0,0,0,2,-0.287240085,-0.887383786,1.423110933,2
Lili,Airedale terrier,0,2,0,48,1,2,4,3,0,30,2,3,2,4,5,2,1,3,1,1,4,1,3,3,4,4,0,2,0,0,0,0,1,0,0,-1.465415301,-0.121265561,-0.332282199,4
Helyes,Greyhound,0,1,1,73,1,2,4,2,1,32,4,1,2,4,7,1,3,4,1,4,5,1,1,2,3,4,3,2,3,.,2,0,1,3,3,-0.227390991,2.019012837,2.368099956,3
Szofi,Miniature Schnauzer,0,2,0,27,0,3,3,1,0,33,4,1,3,3,7,1,1,3,1,2,4,1,1,3,4,5,0,0,0,0,0,0,0,0,1,-0.508761225,-0.914192152,-0.395388069,4
Szamóca,Whippet,0,2,1,111,1,0,1,3,1,35,4,3,1,1,7,5,5,5,5,5,5,0,0,2,5,5,0,0,0,0,0,0,1,1,3,2.343953012,0.071813854,-0.515924564,1
Alfi,Belgian Shepherd Dog - Tervueren,0,1,0,28,1,1,3,2,0,62,2,1,1,3,7,2,2,4,2,2,4,1,2,3,3,5,0,1,0,.,.,.,1,0,1,-0.495393017,-0.363112859,-0.180085254,4
Athos,Dogue de Bordeaux,0,1,0,66,0,3,3,3,0,32,2,3,3,3,6,5,5,5,5,3,4,0,0,1,4,5,3,0,0,3,0,0,0,0,3,2.319281633,0.041998566,1.356445818,1
Pimpa,Mixed,1,2,1,51,0,3,3,1,1,41,3,3,3,3,5,1,2,5,1,3,5,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0.963011829,-1.051328916,0.011448193,1
BORISZ2,Samoyed,0,1,1,21,1,3,3,3,2,45,2,2,3,3,7,2,2,5,1,1,3,2,2,2,1,2,1,3,0,0,0,0,0,0,3,-1.273949725,-0.276698021,1.877508367,2
Lali,Whippet,0,1,1,31,1,1,3,1,0,36,2,3,1,3,5,2,4,5,3,4,5,0,0,1,5,5,0,0,0,0,0,0,0,0,1,1.77720648,-0.866075279,-0.575844107,1
Plüss,Havanese,0,1,0,108,1,3,3,1,1,27,2,3,3,3,7,5,5,5,3,4,5,1,1,3,5,5,2,1,1,0,0,0,0,1,1,1.217938188,0.405321005,-0.664254854,1
Trükk,Havanese,0,1,0,67,1,3,3,1,1,27,5,3,3,3,7,5,5,5,3,3,5,1,1,1,5,5,2,1,1,0,0,0,1,0,1,1.083183805,0.770703385,-0.973052294,1
Bori,Mixed,1,2,1,19,1,2,3,1,1,24,5,1,2,3,6,5,4,5,3,3,4,1,1,2,5,5,1,1,1,0,0,0,0,1,2,0.849439506,0.481075904,-0.612582864,1
Kacat,Vizsla,0,2,0,45,0,0,0,1,0,68,5,2,1,1,7,5,5,5,3,5,5,0,0,1,5,5,0,0,0,0,0,0,0,0,0,2.36390366,-0.847103116,-0.873161369,1
Steak,Mixed,1,1,1,37,1,3,3,3,0,24,4,3,3,3,5,2,2,3,2,4,5,1,1,1,4,4,3,3,0,0,0,0,1,.,0,-0.195236481,0.995832365,-0.533072917,3
Trifó,Mixed,1,1,1,79,1,2,4,1,1,28,3,3,2,4,7,1,1,3,3,4,5,0,1,1,5,5,0,0,0,0,0,0,0,1,2,0.559109368,-0.172334959,-0.527301556,1
Connor,French Bulldog,0,1,1,14,1,2,3,1,0,23,2,3,2,3,6,2,3,4,2,3,4,0,1,1,3,4,3,0,1,0,0,0,0,0,0,0.380782923,-0.226315871,0.027567156,1
Zazie,Mixed,1,2,0,152,0,1,1,3,0,25,4,2,1,1,7,1,1,2,3,3,4,2,2,3,1,1,1,1,1,1,0,0,0,0,0,-1.442987391,-0.552855585,2.385205625,2
Som,Tibetan Terrier,0,1,0,127,1,0,3,3,0,40,2,3,1,3,6,2,2,3,5,4,5,1,1,1,1,4,.,2,2,0,1,1,2,0,.,-0.162150976,1.273023851,2.205468536,3
Zsebi,Puli,0,2,0,19,1,2,3,1,0,30,2,3,2,3,7,4,4,5,4,4,5,1,1,1,5,5,2,2,1,0,1,0,1,1,0,0.899724287,1.420062058,-0.381398921,1
Luca,Mixed,1,2,1,17,0,3,3,1,0,27,5,3,3,3,7,1,1,3,1,2,5,1,1,2,5,5,3,3,0,0,0,0,0,0,2,-0.675743101,0.833587796,-0.732627631,4
Bentley,Mixed,1,1,1,54,0,1,1,1,0,32,2,3,1,1,7,1,3,4,1,3,4,2,2,3,2,4,1,0,0,0,0,0,0,0,0,-0.566715263,-1.12200942,0.493552059,2
Mira,Mixed,1,2,1,32,1,2,3,1,1,24,1,2,2,3,5,1,1,2,1,2,5,0,1,3,2,2,0,0,0,0,0,0,0,0,0,-0.45864261,-1.709092125,1.340798394,2
Mogyoró2,Chihuahua,0,1,1,32,1,2,3,3,1,24,4,3,2,3,5,1,2,2,2,3,3,1,1,3,5,5,0,0,0,0,0,0,0,0,0,-0.473212545,-0.717933292,-0.959459588,4
Mása2,Boxer,0,2,1,28,0,2,3,3,1,24,2,3,2,3,6,1,1,1,1,1,2,1,3,3,3,5,0,0,0,0,0,0,0,0,0,-1.935466561,-0.758382159,-0.526406049,4
Shaggy,Nova Scotia Duck-Tolling Retriever,0,1,0,95,0,3,1,3,0,27,2,1,3,1,7,1,1,3,1,1,3,1,3,3,2,4,0,0,0,0,0,0,0,0,1,-1.475475741,-1.080576382,0.52606009,2
Luna3,Vizsla,0,2,0,13,0,1,3,1,2,27,3,3,1,3,6,1,2,3,1,2,3,1,3,3,4,5,1,0,0,0,0,0,1,0,0,-1.19745419,-0.371143926,-0.724878321,4
Guba,Mudi,0,1,0,48,0,1,4,1,0,34,2,3,1,4,7,1,1,1,1,1,2,1,1,1,5,5,0,0,0,0,0,0,0,0,0,-1.225167431,-0.45744059,-1.182704963,4
Panka2,Shetland Sheepdog,0,2,0,16,0,2,3,1,0,25,2,3,2,3,6,1,2,4,2,3,5,1,2,3,3,5,0,0,0,0,0,0,0,0,1,-0.067287957,-0.971795302,-0.004375592,1
